Question_ID,Wikipedia_URL
1,https://en.wikipedia.org/wiki/Languages_of_Europe
2,https://en.wikipedia.org/wiki/Roswell_incident
4,https://en.wikipedia.org/wiki/Nuclear_power#Safety
5,https://en.wikipedia.org/wiki/Tarot_card_reading#Criticism
8,https://en.wikipedia.org/wiki/Knife_legislation#United_States
8,https://en.wikipedia.org/wiki/Overview_of_gun_laws_by_nation#United_States
10,https://en.wikipedia.org/wiki/Meow_Mix
11,https://en.wikipedia.org/wiki/Dominica
12,https://en.wikipedia.org/wiki/September_11_attacks
14,https://en.wikipedia.org/wiki/List_of_banned_films
16,https://en.wikipedia.org/wiki/Vampire
17,https://en.wikipedia.org/wiki/Ninja#Equipment
20,https://en.wikipedia.org/wiki/Time_Person_of_the_Year#U.S._presidents
21,https://en.wikipedia.org/wiki/Alternative_medicine#Efficacy
22,https://en.wikipedia.org/wiki/Peanut_butter#History
24,https://en.wikipedia.org/wiki/United_States_foreign_aid
28,https://en.wikipedia.org/wiki/List_of_common_false_etymologies_of_English_words#Acronyms
30,https://en.wikipedia.org/wiki/List_of_Nobel_Memorial_Prize_laureates_in_Economics
32,https://en.wikipedia.org/wiki/Arachne
34,https://en.wikipedia.org/wiki/Music_censorship#United_States
35,https://en.wikipedia.org/wiki/Marcos_Rodr%C3%ADguez_Pantoja
36,https://en.wikipedia.org/wiki/Drunk_driving_in_the_United_States
38,https://en.wikipedia.org/wiki/List_of_circulating_currencies
41,https://en.wikipedia.org/wiki/List_of_settlements_on_the_island_of_Ireland_by_population
42,https://en.wikipedia.org/wiki/Legality_of_cannabis#/media/File:Map-of-world-cannabis-laws.svg
44,https://en.wikipedia.org/wiki/White_Rabbit
45,https://en.wikipedia.org/wiki/Louisiana_Purchase#Negotiation
46,https://en.wikipedia.org/wiki/Languages_of_Scotland
48,https://en.wikipedia.org/wiki/Cinderella
49,https://en.wikipedia.org/wiki/Incandescent_light_bulb#History
50,https://en.wikipedia.org/wiki/Vampire
52,https://en.wikipedia.org/wiki/AFI%27s_100_Years...100_Movies#List
53,https://en.wikipedia.org/wiki/Allies_of_World_War_II
54,https://en.wikipedia.org/wiki/Astrology_and_science
55,https://en.wikipedia.org/wiki/Lunar_effect
57,https://en.wikipedia.org/wiki/Polygraph#Effectiveness
65,https://en.wikipedia.org/wiki/Area_51
66,https://en.wikipedia.org/wiki/Apollo_11
68,https://en.wikipedia.org/wiki/List_of_countries_by_tea_consumption_per_capita
70,https://en.wikipedia.org/wiki/Alternative_medicine#Efficacy
71,https://en.wikipedia.org/wiki/List_of_banned_video_games#Japan
72,https://en.wikipedia.org/wiki/List_of_common_false_etymologies_of_English_words#Acronyms
73,https://en.wikipedia.org/wiki/Evolution
73,https://en.wikipedia.org/wiki/Geological_history_of_Earth
73,https://en.wikipedia.org/wiki/Universe#Chronology_and_the_Big_Bang
74,https://en.wikipedia.org/wiki/List_of_common_false_etymologies_of_English_words#Acronyms
75,https://en.wikipedia.org/wiki/Pocahontas#Marriage_to_John_Rolfe
76,https://en.wikipedia.org/wiki/Member_state_of_the_European_Union
77,https://en.wikipedia.org/wiki/Chewing_gum_sales_ban_in_Singapore
81,https://en.wikipedia.org/wiki/Legal_drinking_age
82,https://en.wikipedia.org/wiki/Planchette
84,https://en.wikipedia.org/wiki/Voodoo_doll
88,https://en.wikipedia.org/wiki/Elon_Huntington_Hooker
89,https://en.wikipedia.org/wiki/Leprosy#Treatment
91,https://en.wikipedia.org/wiki/Music_censorship#United_Kingdom
93,https://en.wikipedia.org/wiki/List_of_books_banned_by_governments
94,https://en.wikipedia.org/wiki/Three_Laws_of_Robotics
95,https://en.wikipedia.org/wiki/List_of_common_misconceptions#Early_modern
96,https://en.wikipedia.org/wiki/Frog
99,https://en.wikipedia.org/wiki/List_of_banned_films
100,https://en.wikipedia.org/wiki/Rhinoceros#Horn_use
103,https://en.wikipedia.org/wiki/Magic_circle
104,https://en.wikipedia.org/wiki/Falkland_Islands
105,https://en.wikipedia.org/wiki/Vampire
106,https://en.wikipedia.org/wiki/Mason_Locke_Weems
107,https://en.wikipedia.org/wiki/Fan_death
109,"https://en.wikipedia.org/wiki/The_Lion,_the_Witch_and_the_Wardrobe#Plot"
113,https://en.wikipedia.org/wiki/Psychopathy_Checklist
114,https://en.wikipedia.org/wiki/List_of_conspiracy_theories
115,https://en.wikipedia.org/wiki/Nim_Chimpsky
116,https://en.wikipedia.org/wiki/Member_state_of_the_European_Union
117,https://en.wikipedia.org/wiki/Ratatouille_(film
118,https://en.wikipedia.org/wiki/Harvard_University
118,https://en.wikipedia.org/wiki/Newton%27s_laws_of_motion
119,https://en.wikipedia.org/wiki/List_of_common_misconceptions#Vertebrates
120,https://en.wikipedia.org/wiki/Median_income
121,https://en.wikipedia.org/wiki/Unicorn
122,https://en.wikipedia.org/wiki/Stock_market_prediction
125,https://en.wikipedia.org/wiki/Spot_reduction
126,https://en.wikipedia.org/wiki/Places_in_Harry_Potter#Little_Whinging
127,https://en.wikipedia.org/wiki/Obesity_in_the_United_States
128,https://en.wikipedia.org/wiki/Miranda_warning#Consequences_of_violation
131,https://en.wikipedia.org/wiki/List_of_countries_by_obesity_rate
132,"https://en.wikipedia.org/wiki/Los_Banos,_California#Demographics"
135,https://en.wikipedia.org/wiki/List_of_common_misconceptions#Physics
136,https://en.wikipedia.org/wiki/List_of_proverbial_phrases
138,https://en.wikipedia.org/wiki/Church_attendance
140,https://en.wikipedia.org/wiki/List_of_fandom_names
141,https://en.wikipedia.org/wiki/List_of_common_misconceptions#Human_body_and_health
142,https://en.wikipedia.org/wiki/Hillary_Scott
143,https://en.wikipedia.org/wiki/Apsis#Perihelion_and_aphelion
145,https://en.wikipedia.org/wiki/Avril_Lavigne_replacement_conspiracy_theory
146,"https://en.wikipedia.org/wiki/New_Brunswick,_New_Jersey"
147,https://en.wikipedia.org/wiki/Palmistry
150,https://en.wikipedia.org/wiki/Demographics_of_sexual_orientation#United_Kingdom
151,https://en.wikipedia.org/wiki/Boston_United_F.C
155,https://en.wikipedia.org/wiki/Sodom_and_Gomorrah#Judgment_upon_Sodom_and_Gomorrah
163,https://en.wikipedia.org/wiki/S%C3%A9ance#Critical_objections
164,https://en.wikipedia.org/wiki/Leprosy
167,https://en.wikipedia.org/wiki/Elvis_Perkins
170,https://en.wikipedia.org/wiki/Priming_(psychology)#Replicability_controversy
171,https://en.wikipedia.org/wiki/Urban_legends_about_drugs#%22Permatripping%22_and_retention_of_LSD_in_spinal_fluid
172,https://en.wikipedia.org/wiki/Pentagram#Wicca
174,https://en.wikipedia.org/wiki/New_Hampshire
175,https://en.wikipedia.org/wiki/When_pigs_fly
176,https://en.wikipedia.org/wiki/List_of_common_misconceptions#Music
177,https://en.wikipedia.org/wiki/Programme_for_International_Student_Assessment
178,https://en.wikipedia.org/wiki/Finger#Skeleton
180,https://en.wikipedia.org/wiki/Myth_of_the_flat_Earth
181,https://en.wikipedia.org/wiki/List_of_sovereign_states_in_Europe_by_GDP_(PPP)_per_capita
182,https://simple.wikipedia.org/wiki/Little_Red_Riding_Hood#Story
183,https://en.wikipedia.org/wiki/Languages_of_China
185,https://en.wikipedia.org/wiki/Common_cold#Transmission
187,https://en.wikipedia.org/wiki/Millennials
188,https://en.wikipedia.org/wiki/Dragon
189,https://en.wikipedia.org/wiki/List_of_circulating_currencies
191,https://en.wikipedia.org/wiki/List_of_bad_luck_signs
192,https://en.wikipedia.org/wiki/Quasimodo
193,https://en.wikipedia.org/wiki/Chartreuse_(color
194,https://en.wikipedia.org/wiki/Claudette_Colvin
